	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	SPAlignerVSGraphAligner
0	1	0	0	24	884	5151	Different
1	37	897	5967	37	897	5967	Full
2	24	884	5151	24	884	5151	Full
3	24	884	5151	24	884	5151	Full
4	24	884	5151	24	884	5151	Full
5	37	897	5967	37	897	5967	Full
6	24	869	5151	24	869	5151	Full
7	836	1672	5093	836	1672	5093	Full
8	40	642	7593	56	642	7593	MatchOnPath
9	1	0	0	37	897	5967	Different
10	1688	2479	7591	1688	2477	7591	MatchOnPath
11	1	0	0	37	867	5967	Different
12	24	884	5151	24	884	5151	Full
13	67	600	20959	67	600	20959	Full
14	1	0	0	37	897	5967	Different
15	37	897	5967	37	897	5967	Full
16	1	0	0	37	897	5967	Different
17	1	0	0	37	897	5967	Different
18	54	833	5151	54	833	5151	Full
19	1	0	0	54	833	5151	Different
20	1	0	0	54	833	5151	Different
21	1	0	0	54	833	5151	Different
22	1	0	0	54	833	5151	Different
23	24	884	5151	24	884	5151	Full
24	37	897	5967	37	897	5967	Full
25	1	0	0	24	884	5151	Different
26	1700	2479	7591	1700	2479	7591	Full
27	37	897	5967	37	897	5967	Full
28	1	0	0	24	884	5151	Different
29	1	0	0	37	897	5967	Different
30	37	897	5967	37	897	5967	Full
31	37	897	5967	37	897	5967	Full
32	37	897	5967	37	897	5967	Full
33	37	897	5967	37	897	5967	Full
34	1	0	0	24	884	5151	Different
35	1	0	0	24	884	5151	Different
36	1	0	0	24	884	5151	Different
37	37	897	5967	37	897	5967	Full
38	1	0	0	24	884	5151	Different
39	1	0	0	24	884	5151	Different
40	1	0	0	24	884	5151	Different
41	33	836	5093	33	836	5093	Full
42	1	0	0	37	897	5967	Different
43	37	897	5967	37	897	5967	Full
44	37	897	5967	37	897	5967	Full
45	37	897	5967	37	897	5967	Full
46	37	897	5967	37	897	5967	Full
47	37	897	5967	37	897	5967	Full
48	37	897	5967	37	897	5967	Full
49	88	642	7593	88	642	7593	Full
50	1	0	0	24	884	5151	Different
51	1	0	0	24	884	5151	Different
52	37	897	5967	37	897	5967	Full
53	37	897	5967	37	897	5967	Full
54	45	897	5967	45	897	5967	Full
55	37	897	5967	37	897	5967	Full
56	37	897	5967	37	897	5967	Full
57	1	0	0	0	0	0	MatchOnPath
58	37	897	5967	37	897	5967	Full
59	1	0	0	24	884	5151	Different
60	1	0	0	24	884	5151	Different
61	24	884	5151	24	884	5151	Full
62	24	884	5151	24	884	5151	Full
63	712	1500	7593	712	1500	7593	Full
64	142	561	2925	142	561	2925	Full
65	24	884	5151	24	884	5151	Full
66	1	0	0	5331	6485	4387	Different
67	37	897	5967	37	897	5967	Full
68	1	0	0	37	897	5967	Different
69	37	897	5967	37	897	5967	Full
70	37	897	5967	37	897	5967	Full
71	1	0	0	37	897	5967	Different
72	37	897	5967	37	897	5967	Full
73	1	0	0	37	897	5967	Different
74	37	897	5967	37	897	5967	Full
75	1	0	0	37	897	5967	Different
76	37	897	5967	37	897	5967	Full
77	724	1500	7593	732	1500	7593	MatchOnPath
78	24	884	5151	24	884	5151	Full
79	24	884	5151	24	884	5151	Full
80	24	884	5151	24	884	5151	Full
81	1	0	0	37	897	5967	Different
82	24	860	5151	24	860	5151	Full
