	Type	Count
0	864	13
1	801	11
2	437	5
3	792	5
4	828	4
5	436	4
6	454	4
7	435	3
8	897	3
9	430	3
10	429	3
11	433	3
12	409	3
13	405	3
14	457	2
15	431	2
16	449	2
17	411	2
18	474	2
19	410	2
20	445	2
21	780	2
22	434	2
23	789	2
24	382	2
25	432	2
26	406	2
27	419	1
28	408	1
29	499	1
30	494	1
31	843	1
32	840	1
33	458	1
34	645	1
35	447	1
36	438	1
37	512	1
38	735	1
39	804	1
40	798	1
41	1171	1
42	1167	1
43	660	1
44	422	1
45	2769	1
46	541	1
47	484	1
48	479	1
49	478	1
50	471	1
51	459	1
52	462	1
53	453	1
54	1180	1
55	404	1
56	425	1
57	452	1
58	1920	1
59	483	1
60	747	1
61	834	1
62	546	1
63	920	1
64	588	1
65	582	1
66	966	1
67	413	1
68	900	1
69	3	1
70	846	1
71	746	1
72	612	1
73	315	1
74	885	1
75	400	1
76	466	1
77	806	1
78	1213	1
