	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner	ResultsBandageVSGraphAligner
0	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
1	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
2	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
3	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
4	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
5	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
6	(24) 5151- (869)	24	869	5151	24	869	5151	Full	SinglePathFull
7	(836) 5093+ (1672)	836	1672	5093	836	1672	5093	Full	SinglePathFull
8	(56) 7593+ (642)	56	642	7593	56	642	7593	Full	SinglePathFull
9	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
10	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different	SinglePathFull
11	(37) 5967+ (867)	37	867	5967	37	867	5967	Full	SinglePathFull
12	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
13	(67) 20959+ (600)	67	600	20959	67	600	20959	Full	SinglePathFull
14	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
15	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
16	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
17	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
18	(54) 5151- (833)	54	833	5151	54	833	5151	Full	SinglePathFull
19	(54) 5151- (833)	54	833	5151	54	833	5151	Full	SinglePathFull
20	(54) 5151- (833)	54	833	5151	54	833	5151	Full	SinglePathFull
21	(54) 5151- (833)	54	833	5151	54	833	5151	Full	SinglePathFull
22	(54) 5151- (833)	54	833	5151	54	833	5151	Full	SinglePathFull
23	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
24	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
25	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
26	(1700) 7591+ (2479) , (732) 7593+ (1498)	1700, 732	2479, 1498	7591,7593	1700	2479	7591	Different	SinglePathFull
27	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
28	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
29	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
30	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
31	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
32	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
33	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
34	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
35	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
36	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
37	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
38	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
39	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
40	(24) 5151- (884)	24	884	5151	24	884	5151	Full	SinglePathFull
41	(33) 5093+ (836)	33	836	5093	33	836	5093	Full	SinglePathFull
42	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
43	(37) 5967+ (897)	37	897	5967	37	897	5967	Full	SinglePathFull
