	Query	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	SPAlignerVSGraphAligner
0	gb|AB113580|+|1329-2193|ARO:3002332|GES-3	93	901	864	93	956	32422725	Different
1	gb|AB114632|+|655-1453|ARO:3002607|aadA7	61	803	798	61	858	26862905	Different
2	gb|AB116260|+|1329-2193|ARO:3002333|GES-4	93	901	864	93	956	32422725	Different
3	gb|AB211124|+|0-525|ARO:3002895|SAT-1	64	533	525	64	588	81232484	Different
4	gb|AB571865.1|-|143423-144308|ARO:3003742|mphG	353	884	885	353	1237	50056, 2638631, 6283287, 5689755	Different
5	gb|AB901141|+|0-864|ARO:3002353|GES-24	93	901	864	93	956	32422725	Different
6	gb|AF024602|+|3155-3992|ARO:3002660|APH(6)-Id	842	1623	837	842	1678	595376	Different
7	gb|AF028812|+|392-887|ARO:3002867|dfrF	389	828	495	389	883	5685926	Different
8	gb|AF043381|+|251-863|ARO:3002580|AAC(6')-Ib9	1	525	612	14	627	24065316, 3274129, 60915537, 2728545	Different
9	gb|AF043381|+|943-1744|ARO:3001414|OXA-19	1	626	801	72	872	32592258, 758212	Different
10	gb|AF047479|+|1295-2087|ARO:3002603|aadA3	1	223	792	13, 13	804, 801	5638634, 23556688, 66940499, 66940495, 3661600, 385047 5638634, 23556688, 66940499, 81873962, 31582859	Different
11	gb|AF078527|+|3769-4303|ARO:3000230|ANT(2'')-Ia	66	544	534	66	599	8148926	Different
12	gb|AF099140|+|136-1363|ARO:3002826|EreA2	128	1290	1227	128	1345	31482731	Different
13	gb|AF118110.1|-|71-1037|ARO:3003002|CfxA2	142	1052	966	142	1107	5661688	Different
14	gb|AF135373|+|11-908|ARO:3002244|CARB-5	150	960	897	146	1042	267426, 63777837	Different
15	gb|AF137361|+|63-852|ARO:3002605|aadA5	57	790	789	57	845	1370533	Different
16	gb|AF156486|+|1331-2195|ARO:3002330|GES-1	93	901	864	93	956	32422725	Different
17	gb|AF156486|+|5012-5792|ARO:3002602|aadA2	1	223	780	25, 25	790, 804	5638634, 23556688, 66940499, 81873962, 31582859 5638634, 23556688, 66940499, 66940495, 3661600, 385047	Different
18	gb|AF162771|+|61-643|ARO:3002596|AAC(6')-IIc	90	616	582	90	671	567692	Different
19	gb|AF205943|+|7511-8312|ARO:3001405|OXA-10	1	626	801	8	808	26012357, 758212	Different
20	gb|AF231133|+|1345-2146|ARO:3001423|OXA-28	1	626	801	72	872	32592258, 758212	Different
21	gb|AF294653|+|753-1584|ARO:3001425|OXA-31	41	816	831	41	871	1736030	Different
22	gb|AF300985|+|0-739|ARO:3001430|OXA-36	104	740	738	104	841	32571183, 5674312	Different
23	gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib	39	787	804	39	842	595376	Different
24	gb|AF315351|+|672-1500|ARO:3001426|OXA-32	71	740	828	71	898	32571183, 5674312	Different
25	gb|AF315786|+|1313-2114|ARO:3001429|OXA-35	1	626	801	72	872	32592258, 758212	Different
26	gb|AF326355|+|0-864|ARO:3002331|GES-2	93	901	864	93	956	32422725	Different
27	gb|AF329699|+|372-1236|ARO:3002337|GES-8	93	901	864	93	956	32422725	Different
28	gb|AF350424|+|0-771|ARO:3001428|OXA-34	71	740	771	71	841	32571183, 5674312	Different
29	gb|AF371964|+|118-919|ARO:3001768|OXA-118	19	579	801	19	819	2556907, 1160229, 26511913	Different
30	gb|AF408195.1|+|9446-10250|ARO:3003206|lsaE	34	782	804	34	837	5670118	Different
31	gb|AF550679.1|-|80976-81768|ARO:3002601|aadA	11	380	792	11	802	31689609, 31674241, 385047	Different
32	gb|AJ222769.3|+|3686-5606|ARO:3000194|tetW	39	1800	1920	39	1958	288518, 23815819, 336894	Different
33	gb|AJ627643.4|+|4933-5713|ARO:3002653|APH(3')-VIb	180	716	780	180	959	6903442, 86408359	Different
34	gb|AJ809407|+|118-898|ARO:3002620|aadA23	1	380	780	31	802	31689609, 31674241, 385047	Different
35	gb|AJ854182|+|0-801|ARO:3001798|OXA-74	1	626	801	8	808	26012357, 758212	Different
36	gb|AM040708.1|+|1173-1965|ARO:3004704|aadA8b	1	380	792	13, 13	804, 801	5638634, 23556688, 66940499, 66940495, 3661600, 385047 5638634, 23556688, 66940499, 81873962, 31582859	Different
37	gb|AM087405|+|1748-2582|ARO:3002622|aadA6/aadA10	11	738	834	11	820	3906318, 49630744	Different
38	gb|AM261837|+|73-865|ARO:3002619|aadA22	1	380	792	11	802	31689609, 31674241, 385047	Different
39	gb|AM412317.1|-|3035492-3036527|ARO:3004146|cfrC	2308	3284	1035	2308	3341	24062600	Different
40	gb|AM412777|+|117-918|ARO:3001439|OXA-101	1	626	801	72	872	32592258, 758212	Different
41	gb|AP009048|-|4338624-4340268|ARO:3003576|eptA	758	2346	1644	758	2401	25658009	Different
42	gb|AP012030.1|-|395553-396711|ARO:3004612|Escherichia_coli_ampH	1084	2186	1158	1084	2241	1160795	Different
43	gb|APOH01000009.1|-|220588-221443|ARO:3001751|OXA-296	1	571	855	69	923	31762653, 2880953	Different
44	gb|AY007784|+|1122-1923|ARO:3001431|OXA-37	73	818	801	73	936	26714083	Different
45	gb|AY055428.1|-|20268-21084|ARO:3000412|sul2	96	398	816	96	911	23703864, 9429764	Different
46	gb|AY138986|+|0-789|ARO:3002604|aadA4	57	790	789	57	845	1370533	Different
47	gb|AY139598|+|1486-2287|ARO:3001775|OXA-119	19	574	801	19	819	2556907, 1160229, 26511913	Different
48	gb|AY139603|+|106-898|ARO:3002608|aadA8	1	380	792	13, 13	804, 801	5638634, 23556688, 66940499, 66940495, 3661600, 385047 5638634, 23556688, 66940499, 81873962, 31582859	Different
49	gb|AY171244|+|46-838|ARO:3002618|aadA21	1	380	792	11	802	31689609, 31674241, 385047	Different
50	gb|AY178993|+|574-1471|ARO:3002247|CARB-8	146	960	897	146	1042	267426, 5625755	Different
51	gb|AY260546|+|4477-5341|ARO:3002336|GES-7	93	901	864	93	956	32422725	Different
52	gb|AY445080|+|0-801|ARO:3001795|OXA-56	1	626	801	72	872	32592258, 758212	Different
53	gb|AY494717|+|0-864|ARO:3002334|GES-5	93	901	864	93	956	32422725	Different
54	gb|AY494718|+|0-864|ARO:3002335|GES-6	93	901	864	93	956	32422725	Different
55	gb|AY536519|+|37-937|ARO:3002372|VEB-3	87	931	900	87	986	8677873	Different
56	gb|AY628199|+|203-1064|ARO:3000988|TEM-126	224	1029	861	224	1084	32381806	Different
57	gb|AY758206|+|2743-3589|ARO:3002611|aadA11	11	738	846	11	856	3906318, 5643127	Different
58	gb|AY920928|+|2689-3553|ARO:3002338|GES-9	93	901	864	93	956	32422725	Different
59	gb|BX664015.1|-|103017-103833|ARO:3002641|APH(3')-Ia	121	879	816	121	936	27227585	Different
60	gb|CP003022|+|336788-337580|ARO:3003197|aadA25	1	380	792	13	804	5638634, 23556688, 66940499, 66940495, 3661600, 385047	Different
61	gb|D16251.1|-|1625-2531|ARO:3000316|mphA	125	975	906	125	1030	80826	Different
62	gb|DQ303918|+|0-600|ARO:3002547|AAC(6')-Ib-cr	1	525	600	65	664	36782492, 3274129, 60915537, 2728545	Different
63	gb|DQ677333|+|0-780|ARO:3002621|aadA24	38	380	780	31	802	31689609, 31674241, 385047	Different
64	gb|DQ839391.1|-|12872-13757|ARO:3003741|mphE	1971	2800	885	1971	2855	584002	Different
65	gb|EF552405|+|12-840|ARO:3001802|OXA-141	71	740	828	71	898	32571183, 5674312	Different
66	gb|EU294228.1|+|21241-22717|ARO:3003109|msrE	440	1860	1476	440	1915	584002	Different
67	gb|EU358785|+|720-1521|ARO:3001803|OXA-142	1	626	801	8	808	26012357, 758212	Different
68	gb|EU675686|+|1956-2409|ARO:3002848|arr-3	87	484	453	87	539	31482733	Different
69	gb|EU722333.1|+|1932-3852|ARO:3000196|tet32	39	760	1920	39	1958	6390767, 31413540	Different
