	Path_Bandage	Start_Bandage	End_Bandage	Extracted_Path	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	BandageVSGraphAligner
0	(24) 5151- (884)	24	884	5151	24	884	5151	Full
1	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
2	(24) 5151- (884)	24	884	5151	24	884	5151	Full
3	(24) 5151- (884)	24	884	5151	24	884	5151	Full
4	(24) 5151- (884)	24	884	5151	24	884	5151	Full
5	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
6	(24) 5151- (869)	24	869	5151	24	869	5151	Full
7	(836) 5093+ (1672)	836	1672	5093	836	1672	5093	Full
8	(56) 7593+ (642)	56	642	7593	56	642	7593	Full
9	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
10	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different
11	(37) 5967+ (867)	37	867	5967	37	867	5967	Full
12	(24) 5151- (884)	24	884	5151	24	884	5151	Full
13	(67) 20959+ (600)	67	600	20959	67	600	20959	Full
14	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
15	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
16	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
17	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
18	(54) 5151- (833)	54	833	5151	54	833	5151	Full
19	(54) 5151- (833)	54	833	5151	54	833	5151	Full
20	(54) 5151- (833)	54	833	5151	54	833	5151	Full
21	(54) 5151- (833)	54	833	5151	54	833	5151	Full
22	(54) 5151- (833)	54	833	5151	54	833	5151	Full
23	(24) 5151- (884)	24	884	5151	24	884	5151	Full
24	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
25	(24) 5151- (884)	24	884	5151	24	884	5151	Full
26	(1700) 7591+ (2479) , (732) 7593+ (1498)	1700, 732	2479, 1498	7591,7593	1700	2479	7591	Different
27	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
28	(24) 5151- (884)	24	884	5151	24	884	5151	Full
29	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
30	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
31	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
32	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
33	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
34	(24) 5151- (884)	24	884	5151	24	884	5151	Full
35	(24) 5151- (884)	24	884	5151	24	884	5151	Full
36	(24) 5151- (884)	24	884	5151	24	884	5151	Full
37	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
38	(24) 5151- (884)	24	884	5151	24	884	5151	Full
39	(24) 5151- (884)	24	884	5151	24	884	5151	Full
40	(24) 5151- (884)	24	884	5151	24	884	5151	Full
41	(33) 5093+ (836)	33	836	5093	33	836	5093	Full
42	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
43	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
44	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
45	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
46	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
47	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
48	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
49	(88) 7593+ (642)	88	642	7593	88	642	7593	Full
50	(24) 5151- (884)	24	884	5151	24	884	5151	Full
51	(24) 5151- (884)	24	884	5151	24	884	5151	Full
52	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
53	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
54	(45) 5967+ (897)	45	897	5967	45	897	5967	Full
55	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
56	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
57	(73) 5967+ (857)	73	857	5967	0	0	0	Different
58	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
59	(24) 5151- (884)	24	884	5151	24	884	5151	Full
60	(24) 5151- (884)	24	884	5151	24	884	5151	Full
61	(24) 5151- (884)	24	884	5151	24	884	5151	Full
62	(24) 5151- (884)	24	884	5151	24	884	5151	Full
63	(712) 7593+ (1500) , (1688) 7591+ (2477)	712, 1688	1500, 2477	7593,7591	712	1500	7593	Different
64	(142) 2925+ (561)	142	561	2925	142	561	2925	Full
65	(24) 5151- (884)	24	884	5151	24	884	5151	Full
66	(5331) 4387+ (6485)	5331	6485	4387	5331	6485	4387	Full
67	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
68	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
69	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
70	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
71	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
72	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
73	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
74	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
75	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
76	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
77	(732) 7593+ (1500) , (1700) 7591+ (2477)	732, 1700	1500, 2477	7593,7591	732	1500	7593	Different
78	(24) 5151- (884)	24	884	5151	24	884	5151	Full
79	(24) 5151- (884)	24	884	5151	24	884	5151	Full
80	(24) 5151- (884)	24	884	5151	24	884	5151	Full
81	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
82	(24) 5151- (860)	24	860	5151	24	860	5151	Full
83	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
84	(1688) 7591+ (2477) , (712) 7593+ (1500)	1688, 712	2477, 1500	7591,7593	1688	2477	7591	Different
85	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
86	(24) 5151- (854)	24	854	5151	24	854	5151	Full
87	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
88	(24) 5151- (884)	24	884	5151	24	884	5151	Full
89	(24) 5151- (884)	24	884	5151	24	884	5151	Full
90	(32) 5151- (884)	32	884	5151	32	884	5151	Full
91	(24) 5151- (884)	24	884	5151	24	884	5151	Full
92	(24) 5151- (884)	24	884	5151	24	884	5151	Full
93	(24) 5151- (884)	24	884	5151	24	884	5151	Full
94	(24) 5151- (884)	24	884	5151	24	884	5151	Full
95	(24) 5151- (884)	24	884	5151	24	884	5151	Full
96	(24) 5151- (884)	24	884	5151	24	884	5151	Full
97	(24) 5151- (884)	24	884	5151	24	884	5151	Full
98	(24) 5151- (884)	24	884	5151	24	884	5151	Full
99	(24) 5151- (884)	24	884	5151	24	884	5151	Full
100	(26) 5151- (884)	26	884	5151	26	884	5151	Full
101	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
102	(712) 7593+ (1500) , (1688) 7591+ (2464)	712, 1688	1500, 2464	7593,7591	712	1500	7593	Different
103	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
104	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
105	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
106	(24) 5151- (884)	24	884	5151	24	884	5151	Full
107	(24) 5151- (884)	24	884	5151	24	884	5151	Full
108	(24) 5151- (884)	24	884	5151	24	884	5151	Full
109	(24) 5151- (884)	24	884	5151	24	884	5151	Full
110	(33708) 1107- (35627)	33708	35627	1107	33708	35627	1107	Full
111	(20664) 7505- (22307)	20664	22307	7505	20664	22307	7505	Full
112	(38506) 33403+ (39663)	38506	39663	33403	38506	39663	33403	Full
113	(37) 5967+ (897)	37	897	5967	37	897	5967	Full
114	(24) 5151- (884)	24	884	5151	24	884	5151	Full
