	Query	Start_SPAligner	End_SPAligner	Path_SPAligner	Start_GraphAligner	End_GraphAligner	Path_GraphAligner	SPAlignerVSGraphAligner
0	gb|AB023477|+|0-861|ARO:3001082|SHV-24	1	0	0	24	884	5151.0	Different
1	gb|AB049569|+|0-861|ARO:3000958|TEM-91	37	897	5967+	37	897	5967.0	Different
2	gb|AB302939|+|8-869|ARO:3001115|SHV-60	24	884	5151-	24	884	5151.0	Different
3	gb|AB372881|+|8-869|ARO:3001160|SHV-111	24	884	5151-	24	884	5151.0	Different
4	gb|AB551737|+|14-875|ARO:3001177|SHV-133	24	884	5151-	24	884	5151.0	Different
5	gb|AB700703|+|161-1022|ARO:3001057|TEM-198	37	897	5967+	37	897	5967.0	Different
6	gb|AB733453|+|3-849|ARO:3001204|SHV-167	24	869	5151-	24	869	5151.0	Different
7	gb|AF024602|+|3155-3992|ARO:3002660|APH(6)-Id	836	1672	5093+	836	1672	5093.0	Different
8	gb|AF043381|+|251-863|ARO:3002580|AAC(6')-Ib9	40	642	7593+	56	642	7593.0	Different
9	gb|AF047171|+|135-996|ARO:3000929|TEM-60	1	0	0	37	897	5967.0	Different
10	gb|AF047479|+|1295-2087|ARO:3002603|aadA3	1688	2479	7591+	1688	2477	7591.0	Different
11	gb|AF062386|+|30-862|ARO:3000928|TEM-59	1	0	0	37	867	5967.0	Different
12	gb|AF072684|+|117-993|ARO:3001075|SHV-16	24	884	5151-	24	884	5151.0	Different
13	gb|AF078527|+|3769-4303|ARO:3000230|ANT(2'')-Ia	67	600	20959+	67	600	20959.0	Different
14	gb|AF091113|+|450-1311|ARO:3000934|TEM-67	1	0	0	37	897	5967.0	Different
15	gb|AF093512|+|197-1058|ARO:3000882|TEM-10	37	897	5967+	37	897	5967.0	Different
16	gb|AF104441|+|193-1054|ARO:3000922|TEM-53	1	0	0	37	897	5967.0	Different
17	gb|AF104442|+|193-1054|ARO:3000923|TEM-54	1	0	0	37	897	5967.0	Different
18	gb|AF117743|+|0-780|ARO:3001077|SHV-19	54	833	5151-	54	833	5151.0	Different
19	gb|AF117744|+|0-780|ARO:3001078|SHV-20	1	0	0	54	833	5151.0	Different
20	gb|AF117745|+|0-780|ARO:3001079|SHV-21	1	0	0	54	833	5151.0	Different
21	gb|AF117746|+|0-780|ARO:3001080|SHV-22	1	0	0	54	833	5151.0	Different
22	gb|AF117747|+|0-780|ARO:3001081|SHV-23	1	0	0	54	833	5151.0	Different
23	gb|AF132290|+|87-948|ARO:3001076|SHV-18	24	884	5151-	24	884	5151.0	Different
24	gb|AF143804|+|0-861|ARO:3000959|TEM-92	37	897	5967+	37	897	5967.0	Different
25	gb|AF148851|+|5-866|ARO:3001060|SHV-2	1	0	0	24	884	5151.0	Different
26	gb|AF156486|+|5012-5792|ARO:3002602|aadA2	1700	2479	7591+	1700	2479	7591.0	Different
27	gb|AF157553|+|147-1008|ARO:3000938|TEM-72	37	897	5967+	37	897	5967.0	Different
28	gb|AF164577|+|0-861|ARO:3001072|SHV-13	1	0	0	24	884	5151.0	Different
29	gb|AF188199|+|214-1075|ARO:3000936|TEM-70	1	0	0	37	897	5967.0	Different
30	gb|AF190692|+|208-1069|ARO:3000946|TEM-79	37	897	5967+	37	897	5967.0	Different
31	gb|AF190693|+|208-1069|ARO:3000944|TEM-78	37	897	5967+	37	897	5967.0	Different
32	gb|AF190694|+|208-1069|ARO:3000942|TEM-76	37	897	5967+	37	897	5967.0	Different
33	gb|AF203816|+|210-1071|ARO:3000937|TEM-71	37	897	5967+	37	897	5967.0	Different
34	gb|AF208796|+|0-861|ARO:3001083|SHV-25	1	0	0	24	884	5151.0	Different
35	gb|AF226622|+|54-915|ARO:3001073|SHV-14	1	0	0	24	884	5151.0	Different
36	gb|AF227204|+|73-934|ARO:3001084|SHV-26	1	0	0	24	884	5151.0	Different
37	gb|AF250872|+|0-861|ARO:3000954|TEM-87	37	897	5967+	37	897	5967.0	Different
38	gb|AF293345|+|0-861|ARO:3001085|SHV-27	1	0	0	24	884	5151.0	Different
39	gb|AF299299|+|0-861|ARO:3001086|SHV-28	1	0	0	24	884	5151.0	Different
40	gb|AF301532|+|7-868|ARO:3001087|SHV-29	1	0	0	24	884	5151.0	Different
41	gb|AF313472|+|15593-16397|ARO:3002639|APH(3'')-Ib	33	836	5093+	33	836	5093.0	Different
